,Lat,Lng,Price,Tempature (C),ZipCode
1685,40.1,-75.64,373400.0,3.01,19425
1686,38.53,-106.0,366300.0,7.36,81201
1687,38.55,-106.93,281600.0,1.75,81230
1688,25.72,-80.27,894600.0,20.43,33146
1689,37.71,-122.04,944400.0,11.46,94552
1690,35.81,-86.89,279600.0,6.0,37179
1691,40.91,-73.13,422700.0,0.9,11790
1692,36.15,-95.85,85900.0,9.01,74128
1693,37.97,-86.75,107300.0,1.0,47586
1694,39.78,-104.97,263100.0,15.29,80216
1695,40.97,-74.3,430600.0,1.0,07444
1696,41.05,-85.31,219300.0,0.68,46814
1697,35.56,-82.92,182800.0,8.44,28721
1698,41.47,-90.17,151400.0,3.82,61254
1699,30.33,-81.82,154300.0,13.26,32220
1700,39.97,-74.81,189000.0,4.5,08048
1701,41.39,-74.33,253500.0,-0.09,10924
1702,30.27,-82.13,150500.0,13.65,32063
1703,34.44,-119.62,2708200.0,15.49,93108
1704,41.28,-86.61,105200.0,0.71,46534
1705,40.3,-105.11,378000.0,13.7,80513
1706,38.0,-77.88,241200.0,12.14,23117
1707,29.96,-90.37,208000.0,11.55,70047
1708,35.4,-94.63,94200.0,10.46,74948
1709,29.34,-94.99,218400.0,9.57,77563
1710,42.16,-80.02,123000.0,-0.74,16511
1711,37.35,-119.64,260100.0,10.49,93644
1712,36.01,-84.87,187700.0,4.0,38558
1713,26.92,-80.21,375900.0,19.24,33478
1714,39.87,-75.09,147900.0,4.61,08031
1715,40.58,-81.08,108100.0,0.34,44615
1716,40.73,-75.62,178700.0,1.37,18080
1717,27.9,-81.58,132000.0,16.0,33853
1718,39.01,-95.7,72500.0,5.32,66611
1719,41.21,-76.76,164900.0,2.55,17756
1720,34.67,-79.11,81100.0,10.81,28360
1721,40.94,-74.66,218100.0,1.51,07843
1722,37.67,-95.46,67600.0,7.6,66720
1723,36.09,-119.56,145800.0,9.75,93212
1724,41.05,-80.6,62000.0,0.34,44471
1725,41.98,-83.28,163800.0,0.73,48166
1726,34.97,-82.14,148300.0,10.36,29365
1727,37.15,-122.14,702200.0,11.83,95006
1728,39.79,-75.18,167300.0,4.58,08051
1729,40.78,-89.43,173500.0,4.56,61548
1730,33.68,-95.49,139700.0,9.01,75462
1731,36.2,-79.71,150900.0,9.33,27214
1732,37.19,-93.21,210200.0,8.0,65809
1733,41.74,-77.31,139100.0,1.33,16901
1734,42.7,-84.29,162800.0,1.74,48895
1735,40.94,-72.99,390900.0,0.49,11764
1736,43.63,-88.74,113900.0,1.67,53963
1737,33.79,-116.98,273500.0,15.26,92582
1738,40.63,-74.4,242700.0,2.14,07062
1739,28.85,-82.67,162700.0,14.46,34429
1740,42.78,-88.95,203000.0,1.86,53563
1741,45.29,-122.33,388900.0,6.74,97023
1742,41.17,-82.23,163100.0,0.33,44090
1743,40.26,-75.98,206600.0,2.78,19540
1744,41.19,-80.97,90600.0,0.41,44444
1745,26.05,-97.31,173200.0,8.99,78578
1746,35.72,-97.51,304500.0,10.45,73025
1747,41.92,-79.66,85900.0,-0.5,16407
1748,35.62,-82.41,228100.0,9.44,28778
1749,38.75,-90.42,149300.0,8.98,63044
1750,41.8,-87.9,449300.0,2.54,60558
1751,39.28,-77.21,332800.0,9.44,20872
1752,41.29,-82.04,153600.0,0.33,44044
1753,37.71,-97.5,242100.0,7.99,67235
1754,40.85,-74.23,451100.0,1.58,07009
1755,42.67,-71.42,404700.0,0.0,01879
1756,42.69,-85.48,192300.0,1.42,49333
1757,40.89,-111.9,252000.0,10.22,84087
1758,37.77,-121.54,485400.0,11.82,95391
1759,40.89,-80.7,144500.0,-0.01,44408
1760,40.63,-79.62,88200.0,0.51,15656
1761,33.88,-116.35,237500.0,15.09,92241
1762,34.52,-83.55,133900.0,11.04,30531
1763,36.32,-80.15,135300.0,10.01,27052
1764,33.52,-84.68,123400.0,8.98,30268
1765,33.19,-97.78,167700.0,12.56,76426
1766,39.17,-119.78,345600.0,1.72,89703
1767,35.48,-97.17,141100.0,10.25,73045
1768,33.46,-86.91,58900.0,8.6,35228
1769,37.06,-76.3,176400.0,9.7,23664
1770,41.88,-80.14,160600.0,-0.24,16412
1771,35.53,-87.49,78900.0,6.0,38462
1772,46.77,-92.13,102400.0,2.32,55806
1773,41.33,-95.96,93300.0,6.82,68112
1774,40.09,-75.26,341400.0,3.23,19444
1775,36.37,-94.31,150700.0,8.42,72719
1776,39.07,-75.51,206600.0,7.66,19962
1777,43.22,-78.39,76800.0,0.01,14103
1778,27.87,-97.21,133900.0,9.16,78362
1779,43.67,-114.49,793000.0,-1.24,83340
1780,38.35,-85.9,200000.0,1.97,47119
1781,38.51,-122.46,1182400.0,9.64,94574
1782,42.59,-71.73,293900.0,0.15,01462
1783,39.95,-104.77,315300.0,14.94,80603
1784,46.45,-120.43,155500.0,2.48,98951
1785,43.03,-74.99,71100.0,-4.0,13350
1786,33.8,-118.17,624400.0,15.81,90755
1787,40.93,-73.01,419300.0,0.49,11766
1788,39.67,-76.89,272500.0,6.92,21102
1789,29.84,-82.62,177600.0,14.32,32643
1790,36.39,-85.32,92400.0,4.0,38570
1791,47.23,-122.36,323600.0,6.77,98424
1792,39.66,-119.7,341600.0,2.65,89441
1793,40.83,-84.32,106600.0,-0.48,45833
1794,39.64,-84.08,166600.0,0.76,45305
1795,41.61,-70.92,222700.0,1.28,02744
1796,36.23,-83.84,128700.0,3.64,37807
1797,35.23,-89.52,159800.0,5.26,38060
1798,41.87,-88.15,279100.0,2.54,60190
1799,40.78,-73.64,804500.0,1.66,11577
1800,41.03,-74.52,309900.0,0.92,07438
1801,32.55,-82.87,107800.0,13.2,31027
1802,40.68,-74.43,551600.0,1.77,07922
1803,27.34,-82.35,387600.0,16.27,34240
1804,30.02,-97.15,164200.0,8.9,78957
1805,39.35,-121.71,212500.0,10.41,95948
1806,39.53,-84.08,205100.0,0.75,45068
1807,28.06,-82.31,196100.0,15.34,33592
1808,43.72,-116.61,161500.0,5.22,83644
1809,35.77,-78.63,206700.0,9.11,27601
1810,38.2,-92.67,205000.0,9.0,65049
1811,38.77,-120.54,305400.0,4.25,95726
1812,38.92,-75.58,179800.0,8.28,19952
1813,43.0,-88.81,154500.0,1.86,53549
1814,47.26,-122.46,452200.0,6.77,98403
1815,40.93,-74.04,473300.0,0.93,07661
1816,45.9,-93.29,165200.0,2.83,55051
1817,37.25,-81.27,106300.0,3.98,24605
1818,46.05,-118.41,245100.0,4.31,99324
1819,40.68,-73.59,335500.0,1.72,11575
1820,36.61,-119.54,158800.0,10.0,93648
1821,34.17,-109.99,188800.0,9.03,85929
1822,32.56,-86.1,176800.0,8.48,36093
1823,41.29,-82.22,143700.0,0.58,44074
1824,30.26,-93.27,152800.0,9.59,70669
1825,33.3,-86.66,208500.0,7.65,35043
1826,36.67,-81.96,179300.0,3.75,24211
1827,46.63,-94.27,191500.0,3.5,56472
1828,43.91,-123.03,240900.0,6.0,97426
1829,41.84,-72.9,265900.0,0.44,06019
1830,41.03,-85.18,83100.0,1.31,46809
1831,33.25,-95.91,104400.0,9.29,75428
1832,32.77,-97.75,229800.0,11.8,76085
1833,30.27,-97.69,288000.0,8.34,78721
1834,39.05,-87.17,90300.0,1.17,47441
1835,42.97,-71.41,254200.0,-0.09,03109
1836,42.84,-83.04,286800.0,0.5,48065
1837,39.06,-76.05,288600.0,8.78,21617
1838,40.33,-75.94,117300.0,2.67,19611
1839,38.7,-84.62,140500.0,1.68,41035
1840,41.97,-71.55,311900.0,1.08,02896
1841,36.1,-87.8,107500.0,3.74,37185
1842,43.09,-70.74,321200.0,-0.28,03904
1843,42.03,-71.1,384800.0,0.92,02375
1844,46.87,-122.27,348800.0,7.0,98328
1845,39.97,-82.97,95900.0,-0.44,43203
1846,42.05,-83.38,167100.0,0.75,48117
1847,40.72,-80.26,119000.0,1.01,15074
1848,42.05,-72.77,241800.0,0.49,01077
1849,42.48,-83.02,88600.0,0.64,48015
1850,39.64,-106.62,724900.0,3.22,81632
1851,42.36,-71.3,1051500.0,0.67,02493
1852,35.56,-121.08,750900.0,11.05,93428
1853,42.63,-71.39,373100.0,0.0,01863
1854,36.58,-86.24,145700.0,4.68,37186
1855,40.96,-81.32,156600.0,0.15,44632
1856,40.96,-74.13,574100.0,1.06,07452
1857,30.8,-85.23,145800.0,12.46,32446
1858,41.19,-74.04,446800.0,0.67,10970
1859,39.84,-75.03,157100.0,4.93,08083
1860,40.79,-81.42,59400.0,-0.4,44710
1861,42.09,-76.84,112500.0,-0.07,14905
1862,41.58,-72.9,244100.0,0.4,06479
1863,41.33,-73.7,524900.0,0.18,10589
1864,39.77,-75.78,326700.0,4.24,19350
1865,34.64,-82.74,156500.0,10.85,29670
1866,43.05,-87.94,71500.0,2.38,53205
1867,47.22,-122.45,230700.0,6.77,98418
1868,34.01,-83.43,116300.0,12.12,30607
1869,37.73,-121.41,544800.0,11.87,95304
1870,37.94,-107.82,1080800.0,7.37,81435
1871,41.54,-87.68,173700.0,2.3,60422
1872,30.67,-96.48,175500.0,9.78,77807
1873,39.85,-75.5,342600.0,4.09,19060
1874,43.55,-71.41,250700.0,-1.13,03249
1875,33.87,-81.55,107500.0,11.51,29006
1876,37.6,-120.86,307100.0,11.22,95326
1877,42.05,-70.19,814500.0,1.01,02657
1878,42.36,-88.16,161600.0,2.56,60041
1879,40.84,-89.64,196400.0,5.0,61525
1880,40.65,-111.5,1221200.0,10.97,84060
1881,40.28,-86.04,109700.0,0.87,46072
1882,33.57,-112.44,281300.0,17.38,85355
1883,40.44,-74.54,322000.0,2.89,08823
1884,33.68,-83.68,150800.0,11.26,30025
1885,36.12,-79.67,144600.0,9.4,27301
1886,39.05,-83.95,123200.0,1.17,45154
1887,20.75,-156.33,819500.0,20.37,96790
1888,35.81,-86.05,144900.0,5.84,37190
1889,47.1,-104.73,156700.0,2.47,59330
1890,33.81,-96.69,191500.0,11.61,75076
1891,44.59,-75.16,110200.0,-0.58,13617
1892,41.01,-85.15,96800.0,0.95,46819
