,Lat,Lng,Price,Tempature (C),ZipCode
1581,33.84,-116.53,268000,16.92,92262
1590,39.72,-121.81,243800,11.98,95928
1594,37.93,-122.33,418500,12.08,94804
1598,33.03,-117.09,408000,15.67,92127
1600,36.83,-121.34,436200,12.79,95023
1602,33.92,-118.2,391800,15.82,90262
1603,32.78,-116.92,335600,15.5,92019
1616,34.01,-118.47,1466100,15.8,90405
1617,33.83,-118.31,574100,15.87,90501
1620,33.9,-118.16,361600,15.82,90723
1625,34.07,-118.01,478900,15.55,91732
1636,37.32,-121.92,846900,12.09,95126
1645,32.79,-115.57,152500,24.64,92243
1660,37.7,-122.12,528900,12.15,94578
1661,33.21,-117.22,450700,15.78,92084
1665,33.94,-118.13,529200,15.82,90241
1669,33.98,-118.45,968400,15.8,90292
1671,33.91,-118.01,410900,15.78,90638
1673,37.55,-122.27,1012200,12.1,94404
1674,37.62,-122.48,822400,12.08,94044
1676,37.39,-122.09,1066700,12.09,94040
1677,36.79,-119.76,149500,13.32,93726
1697,34.53,-117.21,194100,14.59,92307
1699,34.01,-118.34,712500,15.81,90008
1706,33.79,-117.93,480900,15.78,92840
1709,37.8,-122.43,1706700,12.15,94123
1712,33.14,-117.17,344700,15.73,92069
1713,34.14,-118.24,597200,15.82,91205
1714,34.21,-118.87,473000,15.7,91360
1717,37.95,-122.07,496400,12.4,94523
1722,34.14,-118.39,911400,15.72,91604
1724,33.92,-117.49,316500,16.37,92505
1725,34.21,-119.17,379300,15.99,93030
1729,34.18,-118.43,660200,14.87,91401
1736,33.72,-118.05,527800,15.82,92649
1738,34.08,-117.74,368000,15.5,91767
1742,33.75,-117.79,484900,15.95,92705
1748,37.47,-122.14,876300,12.09,94303
1750,36.58,-121.84,620000,12.99,93940
1752,34.03,-118.49,1260600,15.77,90403
1753,34.47,-117.19,172900,14.9,92308
1759,37.75,-121.77,580400,12.43,94551
1760,34.04,-117.18,340100,16.12,92373
1763,33.81,-118.35,666500,15.79,90505
1769,33.93,-117.88,542600,16.0,92821
1770,39.11,-121.62,155400,12.72,95991
1781,33.82,-118.11,576800,15.82,90808
1783,37.77,-122.41,1187300,12.08,94103
1797,38.62,-121.51,246600,12.89,95833
1805,38.57,-121.55,284100,13.25,95691
1814,38.72,-121.36,220600,12.3,95843
1825,37.31,-122.0,878500,12.09,95129
1847,34.41,-118.43,301600,14.31,91387
1848,37.76,-121.92,596200,12.54,94582
1850,33.27,-117.34,345400,15.82,92058
1851,32.71,-117.12,410700,15.5,92102
1867,32.65,-116.99,340100,15.09,91913
1883,37.58,-120.95,202600,12.97,95307
1884,33.66,-117.17,349300,16.28,92584
1886,36.81,-119.71,153600,13.32,93612
1928,39.8,-121.87,263900,11.99,95973
1938,33.98,-117.9,299700,15.84,91748
1943,37.32,-121.94,830900,12.09,95128
1945,34.05,-118.38,1026100,16.0,90035
1965,34.21,-118.57,366000,15.06,91306
1978,33.74,-116.97,172500,16.8,92543
1981,38.25,-122.62,524000,12.38,94954
1983,33.79,-118.26,383800,15.81,90744
1984,38.41,-121.43,367400,12.99,95757
1990,34.17,-118.4,694200,15.72,91607
1998,35.3,-119.05,147300,5.79,93313
2006,40.56,-122.41,176000,11.46,96001
2025,37.46,-122.23,1140900,12.1,94061
2027,34.07,-118.37,1067100,15.8,90048
2034,38.68,-121.81,285900,13.11,95695
2035,37.54,-122.03,548100,12.1,94560
2037,33.52,-117.13,382300,16.01,92591
2040,33.88,-117.54,287500,16.31,92879
2064,34.19,-118.82,427900,15.7,91362
2067,34.26,-118.59,414100,14.85,91311
2074,34.06,-117.17,262100,16.12,92374
2075,37.57,-122.32,936900,12.09,94401
2077,34.14,-117.6,343200,15.86,91701
2080,33.71,-117.87,449300,15.89,92707
2082,34.03,-118.29,656700,15.81,90007
2083,32.74,-117.24,721900,15.67,92107
2092,33.75,-117.91,446600,15.83,92703
2095,33.79,-117.32,233500,16.08,92570
2096,38.44,-122.75,438200,12.22,95401
2097,33.8,-116.52,259600,16.9,92264
2114,35.62,-117.67,115800,15.0,93555
2116,37.74,-122.44,1305800,12.08,94131
2125,37.41,-121.94,829100,12.09,95134
2148,34.17,-118.34,687300,15.7,91505
2166,33.81,-117.85,579500,15.89,92867
2167,33.84,-118.01,535500,15.78,90620
2172,33.66,-117.83,611000,15.95,92612
2186,34.22,-118.99,454400,15.77,93012
2189,34.12,-117.77,426700,15.7,91750
2194,34.12,-118.33,1143800,15.74,90068
2201,38.24,-122.13,402800,12.5,94534
2204,34.08,-118.18,498000,15.83,90032
2211,37.69,-122.44,817700,12.08,94014
2213,36.19,-119.23,138600,12.27,93292
2234,34.16,-118.23,492200,15.53,91206
2237,34.15,-118.09,713800,15.56,91107
2239,34.33,-119.36,489300,16.5,93001
2252,33.83,-118.18,558800,15.82,90807
2253,33.89,-117.89,415700,16.0,92831
2261,37.99,-121.7,337700,13.0,94561
2263,37.8,-122.41,1364800,12.15,94133
2268,38.66,-121.48,314900,12.89,95835
2271,37.41,-122.08,1136800,12.09,94043
2274,33.47,-117.7,699500,16.28,92629
2287,34.05,-118.19,405400,15.83,90063
2288,38.68,-121.23,302900,12.0,95662
2292,33.03,-116.85,437000,15.54,92065
2295,37.35,-121.85,612500,12.09,95116
2298,33.8,-118.19,496500,15.81,90806
2301,32.7,-117.12,381800,15.5,92113
2307,33.97,-118.25,348400,15.81,90001
2308,33.81,-117.22,235100,16.51,92571
2313,35.26,-120.65,493600,13.39,93401
2316,34.17,-118.13,717700,15.56,91104
2320,34.05,-118.21,449300,15.81,90033
2332,38.04,-121.34,256400,13.5,95209
2339,38.24,-122.68,658600,12.44,94952
2347,37.81,-121.97,753800,12.5,94526
2355,37.9,-122.53,1086200,12.08,94941
2363,34.24,-119.18,367300,16.19,93036
2367,39.16,-123.2,309900,9.0,95482
2372,33.87,-118.24,355200,15.81,90220
2377,33.84,-117.87,376100,16.06,92806
2379,39.17,-121.51,165400,12.5,95901
2383,38.73,-121.23,303100,12.0,95661
2386,34.95,-120.5,281000,13.19,93458
2406,37.52,-120.85,226600,12.97,95382
2418,33.99,-118.4,589800,15.8,90230
2419,33.76,-116.42,304400,17.3,92270
2421,38.81,-121.27,399100,12.0,95765
2428,34.02,-117.85,447800,15.84,91789
2429,34.1,-117.82,426200,15.7,91773
2431,33.92,-118.14,471400,15.82,90242
2434,36.84,-119.65,260300,13.32,93619
2436,34.11,-117.72,537100,15.5,91711
2437,38.41,-122.73,435500,12.22,95407
2449,39.21,-121.01,308800,10.61,95945
2464,33.85,-117.79,490200,16.06,92807
2466,34.4,-118.55,397600,14.59,91355
2467,40.18,-122.24,143900,11.69,96080
2475,34.05,-118.13,557500,15.82,91754
2476,34.07,-117.94,502100,15.84,91790
2480,40.55,-122.33,182900,11.45,96002
2493,34.19,-118.14,715000,15.56,91001
2495,37.77,-120.84,221500,13.0,95361
2498,33.75,-116.27,309200,21.62,92203
2501,37.21,-121.86,983200,12.43,95120
2514,33.95,-118.36,400100,15.79,90301
2516,38.46,-122.64,641100,12.35,95409
2525,37.5,-122.27,1358000,12.1,94070
2529,36.79,-119.83,156800,13.32,93705
2530,33.61,-117.73,352800,16.05,92637
2542,32.78,-117.13,379400,15.54,92108
2545,33.93,-116.89,231600,16.99,92220
2547,39.76,-121.61,205300,11.97,95969
2550,34.17,-118.52,493500,14.94,91316
2556,32.76,-117.01,470500,15.5,91941
2578,34.09,-118.32,755300,15.82,90038
2580,34.26,-118.58,513800,14.85,91326
2585,38.03,-122.59,562700,12.09,94903
2592,39.49,-121.47,166100,12.18,95966
2601,33.87,-118.33,590500,15.87,90504
2616,34.42,-119.71,824100,15.6,93101
2623,32.91,-117.09,449300,15.54,92131
2624,37.69,-121.9,626200,12.43,94588
2632,34.1,-118.05,717300,15.56,91780
2645,34.04,-118.43,1089700,16.0,90064
2671,37.33,-121.83,476200,12.09,95122
2685,33.75,-117.85,411300,15.89,92701
2690,32.76,-117.2,445400,15.67,92110
2698,37.8,-122.21,788200,12.14,94602
2720,35.48,-120.66,406800,13.32,93422
2721,37.3,-120.46,164600,14.0,95340
2726,38.65,-120.96,267400,11.01,95682
2734,37.04,-120.03,132600,14.0,93638
2737,35.13,-118.45,204600,8.05,93561
2738,33.93,-118.01,453400,15.78,90604
2740,33.95,-118.25,331700,15.81,90002
2763,36.62,-121.79,421100,12.99,93955
2766,37.27,-122.02,1610300,12.09,95070
2768,34.11,-118.26,793600,15.82,90039
2773,39.12,-121.66,249000,12.49,95993
2787,34.43,-118.5,368700,14.59,91350
2804,34.24,-118.52,465000,15.06,91325
2809,34.06,-118.24,528300,15.81,90012
2811,34.17,-117.52,360100,15.31,91739
2819,34.09,-118.1,597200,15.56,91776
2822,34.15,-118.46,620600,15.74,91403
2824,35.17,-120.47,479400,13.4,93420
2835,37.97,-121.32,208700,13.28,95204
2844,34.17,-118.54,412200,15.06,91356
2846,38.02,-121.3,166500,13.37,95210
2848,37.4,-121.86,607400,12.17,95132
2863,32.8,-117.07,407100,15.54,92120
2866,33.81,-117.92,413200,15.84,92802
2878,34.22,-118.37,456300,14.87,91352
2882,34.08,-118.21,549900,15.81,90031
2883,33.79,-117.79,472800,16.12,92869
2894,36.94,-120.08,148200,14.0,93637
2898,36.82,-119.76,126500,13.32,93710
2907,34.28,-118.88,441800,15.78,93021
2909,33.16,-117.33,623400,15.8,92008
2920,37.78,-121.23,247600,13.3,95337
2926,37.42,-122.13,2025000,12.09,94306
2939,33.51,-117.66,495900,16.28,92675
2942,32.8,-117.14,439000,15.54,92123
2944,37.72,-122.41,832400,12.08,94134
2945,34.89,-117.04,89900,14.46,92311
2946,38.67,-121.38,216000,12.3,95660
2949,37.7,-121.03,215200,13.59,95356
2956,33.88,-118.22,366000,15.81,90221
2966,34.12,-118.05,661300,15.56,91007
2995,34.95,-120.43,278800,13.2,93454
2999,38.64,-121.44,196200,12.89,95838
3008,34.06,-118.27,745400,15.81,90017
3013,37.33,-121.79,751000,12.09,95148
3028,36.72,-119.55,150100,13.33,93657
3051,37.52,-122.29,1430200,12.1,94002
3064,37.26,-121.89,555600,12.09,95118
3066,34.02,-118.2,395500,15.82,90023
3067,37.81,-122.29,639700,12.14,94607
3071,37.92,-122.3,753100,12.08,94530
3072,38.57,-121.47,471400,12.88,95816
3073,34.1,-117.91,417900,15.84,91722
3079,37.9,-122.11,1031400,12.14,94549
3088,33.7,-117.2,218300,16.0,92586
3089,33.77,-117.93,440400,15.82,92843
3096,38.91,-121.08,334800,11.24,95603
3107,32.82,-117.1,457100,15.54,92124
3113,33.2,-117.25,390700,15.78,92083
3119,36.8,-119.8,171700,13.32,93704
3123,34.14,-118.13,560400,15.56,91106
3128,38.39,-122.84,745700,11.76,95472
3149,33.79,-118.3,1037300,15.87,90274
3153,34.38,-118.52,296400,14.62,91321
3157,37.92,-122.03,594300,12.14,94598
