Zipcode,Population,Median Age, Household Income ,Per Capita Income,Poverty Count,Poverty Rate
1757,28600,39.3," 73,117 ",35343,2167,7.576923077
1760,35133,40.9," 104,600 ",52377,1161,3.304585432
1770,4255,45.2," 158,250 ",73986,150,3.525264395
1772,9486,42.5," 147,216 ",64334,397,4.185114906
1773,4793,53," 143,505 ",91150,204,4.256206968
1775,7027,43.6," 146,799 ",55315,305,4.340401309
1776,18594,43.8," 164,013 ",73702,345,1.855437238
1778,13697,45.9," 157,005 ",75193,594,4.336716069
1801,39775,39.4," 84,479 ",37573,2791,7.016970459
1803,25698,42.5," 92,141 ",41548,1330,5.175500039
1810,34963,41.9," 134,627 ",59241,1494,4.273088694
1821,31780,40.7," 100,158 ",39661,1281,4.030837004
1824,25803,44.7," 109,638 ",48287,823,3.189551603
1826,30855,38.6," 86,884 ",35509,1759,5.700858856
1827,3310,46.3," 118,984 ",51292,78,2.356495468
1830,25882,39.9," 57,917 ",30606,3981,15.38134611
1832,23305,37.6," 63,078 ",30809,2788,11.96309805
1833,8514,44.3," 106,016 ",46138,175,2.055438102
1834,6681,45," 96,512 ",40327,111,1.66142793
1835,13153,38.5," 71,827 ",32897,1086,8.256671482
1840,5524,32.4," 19,855 ",17905,1827,33.07385952
1841,47836,31.8," 34,636 ",15783,12947,27.06539008
1843,25963,30.3," 42,707 ",19206,5915,22.78242114
1844,49057,38.9," 72,664 ",31514,4996,10.18407159
1845,29705,41.5," 102,008 ",48776,1546,5.204511025
1850,16394,29.6," 42,437 ",18918,3952,24.10638038
1851,30026,33," 49,583 ",23154,5791,19.28661826
1852,34332,36.2," 50,348 ",27264,6515,18.97646511
1854,29204,30.2," 40,229 ",19745,6319,21.63744693
1860,6695,46.4," 77,481 ",39796,371,5.541448842
1862,11134,39.9," 102,330 ",32881,438,3.933896174
1863,9103,43.5," 80,538 ",43825,352,3.86685708
1864,15476,44.2," 119,933 ",49810,487,3.146807961
1867,24935,42.1," 110,043 ",49200,671,2.690996591
1876,29692,44.8," 93,016 ",40781,1590,5.354977772
1879,12133,40.4," 99,325 ",44664,907,7.475480096
1880,26062,42.8," 92,474 ",43840,981,3.76410099
1886,23850,43.2," 130,739 ",50363,586,2.457023061
1887,23310,42.4," 102,301 ",41102,663,2.844272844
1890,22491,42.8," 149,321 ",71188,529,2.352051932
1901,1637,40," 21,905 ",18954,492,30.05497862
1902,47081,32," 39,654 ",21766,11359,24.12650538
1904,17103,38," 86,477 ",35988,1069,6.250365433
1905,26209,32.7," 55,185 ",23424,5410,20.64176428
1906,27773,45.2," 78,372 ",34944,2162,7.784538941
1907,14418,44.7," 103,064 ",53861,840,5.82605077
1908,3471,49.8," 72,625 ",52891,144,4.148660328
1913,17082,43.4," 75,861 ",37392,942,5.514576747
1915,40967,40," 73,839 ",42197,2946,7.191153856
1921,8198,45.6," 153,578 ",62718,171,2.085874604
1922,2829,48.3," 86,806 ",43321,141,4.984093319
1923,27419,45," 79,913 ",38374,1312,4.7850031
1929,3632,44.5," 103,750 ",49892,205,5.644273128
1930,29546,48.8," 63,917 ",39144,2402,8.129696067
1937,139,46.7," (666,666,666)",15440,109,78.41726619
1938,13682,48.8," 77,788 ",44376,965,7.053062418
1940,13143,45.5," 112,151 ",52170,270,2.054325496
1944,5321,49.9," 92,604 ",60405,411,7.724112009
1945,20363,48," 103,148 ",62096,1163,5.711339194
1949,9514,41.5," 106,326 ",42162,349,3.668278327
1950,17837,48.9," 87,162 ",52667,1367,7.663844817
1951,4076,48.9," 93,040 ",50301,193,4.735034347
1952,8899,46.2," 65,903 ",32592,911,10.23710529
1960,51948,44.7," 63,822 ",34826,4211,8.106183106
1966,7167,52.3," 68,448 ",44610,368,5.1346449
1969,6145,45.3," 85,496 ",45105,292,4.751830757
1970,42650,36.3," 61,035 ",32747,6227,14.60023447
1982,8136,41.5," 114,907 ",48076,736,9.046214356
1983,6434,47.2," 128,283 ",52686,87,1.352191483
1984,5135,23.4," 99,375 ",44238,95,1.850048685
1985,4484,45.8," 138,947 ",58323,208,4.638715433
2019,16833,41.2," 90,630 ",43720,584,3.469375631
2021,22562,42," 93,672 ",49206,1417,6.280471589
2025,8316,43," 128,224 ",68458,386,4.641654642
2026,25272,42.4," 87,108 ",44792,1144,4.526748971
2030,5864,44.2," 189,265 ",101393,36,0.613915416
2032,4070,43.2," 100,658 ",52135,277,6.805896806
2035,17348,43.1," 95,665 ",44217,963,5.55107217
2038,32873,40.6," 108,815 ",46981,1322,4.021537432
2043,22901,45.4," 118,148 ",64920,1193,5.209379503
2045,10437,52.3," 78,114 ",45228,472,4.522372329
2047,47,48.6," (666,666,666)",24349,0,0
2048,23615,37.5," 102,090 ",44193,613,2.595807749
2050,25961,45.1," 84,747 ",40594,1921,7.39956088
2052,12510,42.9," 147,630 ",66968,313,2.501998401
2053,13135,40.7," 109,865 ",46878,625,4.758279406
2054,8110,43," 97,591 ",43859,375,4.623921085
2056,11442,43.4," 138,452 ",43479,415,3.626988289
2061,10845,44.2," 114,560 ",52592,376,3.4670355
2062,29018,40.5," 83,883 ",41517,2334,8.043283479
2066,17978,46.1," 110,492 ",51277,685,3.810212482
2067,18066,42.8," 129,609 ",59180,345,1.909664563
2071,1686,38.7," 105,865 ",29221,29,1.72004745
2072,28260,43.2," 75,109 ",34191,2274,8.04670913
